accident_index,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,hour_of_day,road_type,speed_limit,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,vehicle_type
ACC000000,3,2,1,2,9,1,30,0,6,1,3,2,4
ACC000001,2,2,2,5,21,2,30,4,4,7,1,1,4
ACC000002,2,1,2,6,15,7,60,1,1,3,4,1,11
ACC000003,3,2,1,7,14,2,30,1,6,2,3,2,11
ACC000004,3,2,3,5,15,3,70,2,4,1,4,1,9
ACC000005,2,4,1,2,12,2,50,2,1,1,1,1,2
ACC000006,3,3,2,6,2,2,30,1,4,1,1,1,5
ACC000007,2,2,1,5,22,2,30,2,6,5,1,2,2
ACC000008,2,1,2,6,14,9,70,0,1,2,1,1,3
ACC000009,3,4,1,7,4,2,60,0,1,3,1,2,9
ACC000010,3,1,1,5,10,12,30,0,1,1,1,2,3
ACC000011,3,2,2,4,17,12,30,0,1,8,3,1,11
ACC000012,3,1,1,4,20,1,20,1,5,5,1,2,1
ACC000013,3,3,1,4,12,3,30,1,1,1,2,2,1
ACC000014,2,1,1,2,21,9,60,0,1,1,4,1,1
ACC000015,3,2,1,3,22,2,40,0,4,1,3,2,3
ACC000016,3,2,1,3,9,1,60,0,1,1,2,1,3
ACC000017,2,2,1,7,13,2,20,4,4,2,2,1,11
ACC000018,3,2,2,3,11,2,30,1,1,1,1,2,1
ACC000019,3,3,1,3,8,9,20,2,1,1,1,1,1
ACC000020,3,2,1,5,17,3,30,1,1,2,1,1,1
ACC000021,3,2,1,1,20,2,30,1,1,1,1,1,9
ACC000022,3,2,1,4,13,2,40,0,1,1,3,1,1
ACC000023,3,1,2,4,10,3,30,0,5,1,1,1,1
ACC000024,3,3,1,7,5,9,20,0,1,2,1,2,2
ACC000025,3,2,5,7,5,3,50,1,1,4,2,2,5
ACC000026,3,2,1,6,21,6,70,1,7,1,2,2,9
ACC000027,3,2,4,3,13,1,30,0,4,2,1,2,5
ACC000028,2,2,4,3,5,1,60,1,4,2,1,1,11
ACC000029,1,3,2,7,17,2,70,0,4,1,2,2,9
ACC000030,1,2,1,6,7,3,30,4,7,2,2,1,5
ACC000031,2,1,1,5,14,2,60,0,7,1,2,1,1
ACC000032,3,4,3,4,15,1,40,0,1,1,1,2,1
ACC000033,3,2,1,1,18,1,30,1,4,7,1,2,1
ACC000034,2,1,3,4,21,3,30,4,1,8,1,2,4
ACC000035,3,3,2,1,14,2,60,2,5,4,1,1,3
ACC000036,3,4,4,6,7,2,70,1,6,1,1,2,9
ACC000037,3,3,1,3,15,3,40,1,4,1,4,2,4
ACC000038,3,4,3,6,5,1,30,2,1,2,2,2,5
ACC000039,3,2,2,3,16,1,50,4,1,1,2,1,11
ACC000040,3,1,1,3,4,2,30,1,4,1,1,2,5
ACC000041,3,2,3,4,13,12,30,0,6,2,1,2,1
ACC000042,3,2,1,3,5,2,30,4,4,1,1,1,4
ACC000043,3,3,1,3,16,3,30,0,4,6,1,2,5
ACC000044,3,2,1,6,15,1,30,1,1,1,2,1,1
ACC000045,3,2,1,4,18,12,20,2,1,2,2,2,1
ACC000046,3,2,2,6,12,2,70,4,1,1,3,1,1
ACC000047,3,3,3,1,21,3,30,0,1,2,2,2,3
ACC000048,3,2,2,1,10,12,30,1,1,2,4,1,3
ACC000049,3,3,2,7,12,2,40,0,1,1,5,2,1
ACC000050,2,2,4,3,22,2,30,0,5,8,5,1,1
ACC000051,3,4,1,4,21,1,50,0,4,4,2,1,3
ACC000052,3,2,2,4,12,7,50,0,1,7,1,2,1
ACC000053,3,2,2,1,11,2,30,4,6,6,1,2,3
ACC000054,1,2,4,7,15,12,60,2,4,2,5,1,3
ACC000055,3,3,1,4,22,2,30,1,1,6,1,1,9
ACC000056,2,2,1,4,22,3,30,0,1,1,1,2,11
ACC000057,3,1,2,3,9,7,30,1,1,1,1,1,1
ACC000058,3,2,1,5,8,2,70,0,1,1,2,1,1
ACC000059,3,3,3,2,18,3,50,1,4,1,4,1,3
ACC000060,3,3,2,3,19,6,60,1,6,1,1,1,1
ACC000061,3,2,2,3,15,1,30,1,1,1,1,1,3
ACC000062,3,2,1,4,5,2,30,1,1,4,2,1,1
ACC000063,2,2,5,4,5,2,60,0,1,1,2,1,11
